id,title,category,date,type,longitude,latitude,geometry_count
EONET_3429,"Oaxaca, Mexico Earthquake M7.2",Earthquakes,2018-02-16T23:39:42Z,Point,-97.653,16.646,1
EONET_3287,"Puebla, Mexico M 7.1 Earthquake",Earthquakes,2017-09-19T00:00:00Z,Point,-98.399,18.584,1
EONET_3276,"Pijijiapan, Mexico M 8.1 Earthquake",Earthquakes,2017-09-08T00:00:00Z,Point,-93.715,15.068,1
EONET_4023,"Montana Floods, May 2018",Floods,2018-05-01T00:00:00Z,Polygon,-110.658203125,46.16101064153322,1
EONET_3477,"Kauai, Hawaii Flooding",Floods,2018-04-14T00:00:00Z,Point,-159.5,22.02,1
EONET_3435,Central U.S. Floods,Floods,2018-02-20T00:00:00Z,Polygon,-91.0673828125,36.50453138699034,1
EONET_2836,Southern Honduras Floods,Floods,2017-06-10T00:00:00Z,Point,-87.32429,13.33121,1
EONET_2791,"Montreal, Canada Flooding",Floods,2017-05-06T00:00:00Z,Point,-73.57909617187494,45.50894715282189,1
EONET_2784,Flooding in U.S. Midwest,Floods,2017-04-29T00:00:00Z,Polygon,-90.4345703125,33.55091354991938,1
EONET_2782,Flooding in Haiti and Dominican Republic,Floods,2017-04-20T00:00:00Z,Polygon,-71.9072265625,18.730012456480107,1
EONET_2559,"Louisiana Floods, August 2016",Floods,2016-08-12T00:00:00Z,Polygon,-91.69140625,30.042210720190234,1
EONET_456,"West Virginia Flooding, June 2016",Floods,2016-06-20T00:00:00Z,Polygon,-80.90283203125,37.91588573832861,1
EONET_418,"East Texas Flooding, May-June 2016",Floods,2016-05-25T00:00:00Z,Polygon,-95.55859375,29.899471836618698,1
EONET_368,"Flooding in Houston, Texas",Floods,2016-04-17T00:00:00Z,Polygon,-95.446533203125,29.672526603835074,1
EONET_258,"Midwest U.S. Floods, January 2016",Floods,2015-12-26T00:00:00Z,Polygon,-90.53125,34.74373390434106,1
EONET_244,"U.S. Pacific Northwest Flooding, December 2015",Floods,2015-12-07T00:00:00Z,Polygon,-123.47265625,45.38806771378845,1
EONET_213,South Carolina Floods,Floods,2015-10-02T00:00:00Z,Polygon,-81.337890625,33.53274215637545,1
EONET_51,"Costa Rica Flooding, June 2015",Floods,2015-06-24T00:00:00Z,Polygon,-83.55004882812504,10.378606371013401,1
EONET_2,"Texas Flooding, May 2015",Floods,2015-05-13T00:00:00Z,Polygon,-97.38671875,30.96129391626305,1
EONET_3409,Connecticut River Ice Jams,Sea and Lake Ice,2018-01-18T00:00:00Z,Point,-72.40985870361328,41.389945964560695,1
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-14T21:00:00Z,Point,-83.5,15.9,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-15T03:00:00Z,Point,-84.5,15.8,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-15T09:00:00Z,Point,-85.1,16.0,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-15T15:00:00Z,Point,-86.0,16.1,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-15T21:00:00Z,Point,-86.2,16.2,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-16T03:00:00Z,Point,-86.3,16.2,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-16T09:00:00Z,Point,-86.3,16.1,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-16T15:00:00Z,Point,-86.5,16.3,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-16T21:00:00Z,Point,-87.0,16.4,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-17T03:00:00Z,Point,-87.3,16.5,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-17T09:00:00Z,Point,-87.8,16.8,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-17T15:00:00Z,Point,-88.4,17.1,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-17T21:00:00Z,Point,-89.5,17.8,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-18T03:00:00Z,Point,-90.7,18.1,15
EONET_11999,Tropical Storm Sara,Severe Storms,2024-11-18T09:00:00Z,Point,-91.5,19.0,15
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-04T21:00:00Z,Point,-76.7,15.5,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-05T03:00:00Z,Point,-77.2,16.3,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-05T09:00:00Z,Point,-78.0,17.0,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-05T15:00:00Z,Point,-78.6,17.8,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-05T21:00:00Z,Point,-79.6,19.1,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-06T03:00:00Z,Point,-80.4,19.7,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-06T09:00:00Z,Point,-81.3,20.6,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-06T15:00:00Z,Point,-81.9,21.4,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-06T21:00:00Z,Point,-82.7,22.6,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-07T03:00:00Z,Point,-83.6,23.5,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-07T09:00:00Z,Point,-84.6,24.2,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-07T15:00:00Z,Point,-85.2,24.5,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-07T21:00:00Z,Point,-86.2,24.7,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-08T03:00:00Z,Point,-87.1,24.6,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-08T06:00:00Z,Point,-87.5,24.7,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-08T09:00:00Z,Point,-88.0,24.5,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-08T15:00:00Z,Point,-88.8,24.5,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-08T21:00:00Z,Point,-89.7,24.6,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-09T03:00:00Z,Point,-89.9,24.8,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-09T09:00:00Z,Point,-90.8,25.0,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-09T15:00:00Z,Point,-91.5,25.2,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-09T21:00:00Z,Point,-91.7,25.5,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-10T03:00:00Z,Point,-91.7,25.7,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-10T09:00:00Z,Point,-91.8,26.1,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-10T15:00:00Z,Point,-91.9,26.3,26
EONET_11899,Tropical Storm Rafael,Severe Storms,2024-11-10T21:00:00Z,Point,-91.3,26.1,26
EONET_11896,Tropical Cyclone Lane,Severe Storms,2024-11-02T06:00:00Z,Point,-129.2,11.1,6
EONET_11896,Tropical Cyclone Lane,Severe Storms,2024-11-02T12:00:00Z,Point,-129.7,11.2,6
